"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
197303	-3.14	0.37	-0.68	0.78	-0.29	0.6760181281	0.0367061493	0.0093240093
197304	-6.54	-2.89	-4.32	-5.48	-7.79	0.6977198485	0.0378332368	0.0069284065
197305	-2.89	-1.69	-2.01	1.07	-5.03	0.7132159617	0.0396022163	0.0068807339
197306	-3.89	-0.13	-0.17	0.02	-0.28	0.7209743078	0.0390133985	0.006833713
197307	8.5	3.29	3.15	6.87	9.59	0.6939766839	0.0373500626	0.0022624434
197308	-3.8	-2.31	-3.76	-6.91	-2.23	0.7243372354	0.0373887675	0.0180586907
197309	7	6.42	0.67	0.79	7.19	0.6788089959	0.0343612257	0.0022172949
197310	-3.41	1.2	0.52	1.83	-1.07	0.6720817914	0.0346603301	0.0088495575
197311	-16.3	-11.51	-8.29	-7.77	-13.44	0.7818789906	0.0387363392	0.0065789474
197312	-1.93	3.83	-1.34	-4.48	2.44	0.7555884634	0.0130073951	0.0065359477
197401	4.99	-1.73	1.52	-2.52	1.11	0.751446438	0.0116267491	0.0086580087
197402	-0.02	-0.49	1.32	-1.23	1.02	0.7470977188	0.0109186477	0.0128755365
197403	-1.73	-2.08	-3.43	1.21	-3.62	0.8151840129	0.0103999361	0.0127118644
197404	-3.26	-5.06	-4.27	-1.48	-6.4	0.8248580819	0.0096570612	0.0041841004
197405	-0.48	-4.14	-3.28	-0.12	-8.38	0.8604161213	0.0092465389	0.0125
197406	-1.95	-1.08	-1.77	-1.62	-5.51	0.8601587717	0.0080278099	0.0082304527
197407	-11.56	-4.23	-8.14	-14.06	-6.64	0.9112393224	0.0068395041	0.0081632653
197408	-10.04	-9.47	-3.09	-8.11	-10.62	1.0171239942	0.0065559147	0.012145749
197409	-12.31	-9.52	-11.89	-15.55	-9.58	1.1354401435	0.0051382625	0.012
197410	10.25	17.28	13.17	29.52	20.22	1.0370837841	0.0036391582	0.0098814229
197411	-4.68	-4.63	-4.17	-1.2	-2.76	1.115637022	0.0078154226	0.0078277886
197412	-2.45	-2.16	-2.48	-3.37	-4.35	1.1200181747	0.0087733076	0.0077669903
197501	21.74	12.4	13.5	-0.61	17.81	0.9808296267	0.0085111686	0.0038535645
197502	4.53	5.07	9.85	16.04	2.84	0.9339016305	0.0116529422	0.0076775432
197503	8.04	1.79	0.26	1.28	4.11	0.9724663152	0.0204679182	0.0038095238
197504	3.2	7.14	2.98	0.72	3.3	0.909489371	0.0224964867	0.0037950664
197505	4.13	6.35	4.98	6.48	5.69	0.8975236997	0.022953967	0.0056710775
197506	7.46	5.46	2.94	0.91	5.95	0.8498390198	0.0229618335	0.007518797
197507	-5.08	-5.16	-7.46	-12.03	-6.12	0.898365624	0.0256271466	0.0111940299
197508	-2.31	-0.96	-3.21	-3.34	-5.12	0.8942466541	0.0263645964	0.0018450185
197509	-2.84	-3.49	-1	-6.54	-6.3	0.9409482541	0.0279176358	0.0055248619
197510	9.81	3.45	7.78	10.68	3.91	0.8934979188	0.0258966511	0.0054945055
197511	3.99	1.66	4.73	5.12	3.56	0.8679284743	0.0246206801	0.0072859745
197512	-1.67	-0.52	-0.82	-6.36	-0.29	0.876338851	0.0237094285	0.0036166365
197601	11.75	12.83	14.98	7.78	12.93	0.7659338857	0.0218504892	0.0018018018
197602	2.2	-0.44	2.05	-6.52	3.12	0.7680365203	0.0222313689	0.0035971223
197603	2.5	2.72	2.1	6.52	1.94	0.7840312172	0.0150701473	0.0017921147
197604	-1.52	-0.04	-1.57	-4.31	-1.56	0.7860761398	0.0142384372	0.0035778175
197605	-3.59	0.8	-0.75	-2.81	-1.67	0.8035027635	0.0141463859	0.0071301248
197606	3.16	4.36	6.54	3.66	5.4	0.7814276312	0.0189231854	0.0053097345
197607	-0.45	-0.77	-0.98	-0.38	-0.06	0.7958238544	0.0188409486	0.0052816901
197608	0.29	-0.64	1.19	2.17	-1.14	0.8047322694	0.0206283658	0.0052539405
197609	2.15	3.04	2.41	3.62	0.94	0.7913632737	0.0237815187	0.0034843206
